Feature,Importance
V5,0.033849161234300595
V8,0.03190398653859461
V21,0.030020183692681
V7,0.01398920510670365
V22,0.012821978121220212
V23,0.0068758696470645475
V10,0.005237699354633918
V19,0.004830459948784949
V6,0.004083845404096564
V4,0.0035787667287081604
V27,0.002553008838297899
V24,0.0019475223959339871
Amount,0.0014653612244792669
V28,0.0009753121194044923
V15,0.0009489445692949516
V25,0.0003052392523770209
V13,-0.0007848212795700249
V26,-0.0008760581287496905
V17,-0.0013616240926523915
V3,-0.005673068050302987
V12,-0.005686230038481455
V9,-0.005993720995967067
V16,-0.006280253725439167
V20,-0.006410419153532132
V11,-0.006792749662903219
V2,-0.007943735080406356
V1,-0.008368717064783482
V18,-0.008414151240227596
V14,-0.010222630071346828
